tempo,harmonics,chroma_stft,rmse,centroid,bandwidth,contrast,flatness,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
123.046875,-4.9031372e-05,0.34994322,0.13022463,1784.4204464946633,2002.6501916232635,20.530732524634253,0.004498873,3806.4853160373937,0.08306639113293343,-113.59675,121.5573,-19.158825,42.351032,-6.376458,18.618876,-13.697912,15.344631,-12.285267,10.980492,-8.324325,8.810669,-3.6673682,5.751691,-5.1627626,0.75094795,-1.6919378,-0.40995258,-2.3002086,1.2199286,0
107.666015625,0.0001418874,0.3409832,0.095918424,1529.8353159300755,2038.6175789692213,20.676333757833834,0.0022944591,3548.8202074363876,0.056044256724071206,-207.5568,124.00672,8.93056,35.874687,2.9160368,21.523726,-8.554704,23.358671,-10.103617,11.903744,-5.5603876,5.376803,-2.2391195,4.2169633,-6.0122733,0.93610954,-0.7165372,0.29387602,-0.28743085,0.5315728,0
161.4990234375,-1.2974187e-06,0.36360285,0.17557304,1552.4819582458863,1747.1659849613065,22.197265163058066,0.002627773,3040.514947755418,0.07630074799245357,-90.75439,140.4599,-29.109968,31.689013,-13.987036,25.754763,-13.649587,11.629271,-11.780589,9.706442,-13.123111,5.789265,-8.905224,-1.08372,-9.21836,2.455806,-7.726901,-1.815723,-3.4334342,-2.2268214,0
172.265625,4.781563e-07,0.404779,0.14119118,1070.1199533246056,1596.333947762686,21.428764078652268,0.000953454,2185.028454098539,0.03330894446594427,-199.43115,150.09921,5.647593,26.871927,1.7544614,14.238345,-4.8308825,9.297966,-0.75774163,8.149012,-3.196314,6.0876765,-2.4764209,-1.0738901,-2.8747778,0.7809771,-3.316932,0.6379817,-0.61969006,-3.4082334,0
135.99917763157896,-1.7981221e-05,0.3085901,0.09156322,1835.4946028033319,1748.3624480992835,21.467739185485605,0.00323925,3580.945013182082,0.1015001421004257,-160.26604,126.19881,-35.60545,22.153301,-32.48927,10.864513,-23.35793,0.5031179,-11.805833,1.2068051,-13.083822,-2.8063836,-6.934123,-7.558618,-9.173553,-4.5121646,-5.4535384,-0.9241608,-4.4093328,-11.703781,0
112.34714673913044,-8.508269e-07,0.30234644,0.10346758,1831.9423675966689,1729.483241126701,22.547452601973017,0.003055743,3480.9372845818016,0.09403986975135449,-177.86905,118.19691,-17.550674,30.758635,-21.742746,11.903802,-20.734247,3.1805975,-8.583484,-0.9364873,-11.776275,-2.420614,-9.339365,-9.939324,-3.9098926,-5.570624,-1.8390232,-2.7784207,-3.046866,-8.1158085,0
123.046875,-6.99101e-06,0.29130802,0.14179581,1459.0784827344287,1388.9133116502305,23.434488150577806,0.0009680558,2795.6164286232583,0.07302790308146284,-190.14946,130.29695,-36.34414,33.01305,11.1069355,-0.61515844,-20.86201,0.2700911,-6.48976,-5.5170937,-7.8403273,-3.1256783,-6.593118,-9.942267,-6.5372243,-10.064754,-10.912171,-6.972478,-3.4490335,-6.49551,0
92.28515625,2.3304918e-05,0.30792105,0.13178548,1451.7541466600387,1577.3699166309077,22.445583310652776,0.0014361041,2955.348796076819,0.06143500266060371,-179.39543,136.45924,-26.656359,39.988026,5.2896767,10.924428,-20.56189,8.513765,-11.356909,-3.4690769,-8.414556,-6.9548264,-3.5445356,-8.051242,-8.959537,-8.424336,-10.558884,-10.788157,-4.693748,-8.638613,0
83.35433467741936,2.0444672e-07,0.40903714,0.1424381,1719.2131626636947,2031.6438835817446,22.37836203335969,0.0025932437,3781.318801549197,0.06402757957623839,-121.36102,122.51311,-14.74213,46.143444,-8.165333,20.176525,-19.172476,23.055616,-11.8305025,21.17701,-6.72119,7.010945,-12.741831,5.0660043,-5.1754775,-1.4440242,-7.0370703,2.6974514,3.4098086,-2.6983528,0
129.19921875,-3.9220604e-06,0.27400923,0.08135202,1817.5163862399386,1973.7390701415939,21.164508854617015,0.0027082723,3944.451148443547,0.0792153184258901,-213.1808,115.152794,-11.716267,39.02947,-20.352757,13.082405,-9.173482,9.016149,-14.097915,4.278178,-6.039595,3.7847714,0.22566757,-5.1136374,-0.4130642,-1.1845372,-1.9207147,-2.2937274,2.8912659,-4.2332044,0
161.4990234375,-0.00011179284,0.3039545,0.14293914,1410.4690961427957,1512.6209828983224,21.09609346737832,0.0012452942,2767.2749333337365,0.06298072271671827,-173.7075,137.1564,-23.766518,26.98937,-16.668423,4.1984506,-12.56663,5.834843,-2.8817365,-1.2086807,-1.9657364,1.8005352,-2.9883747,-1.8693886,-0.8001555,-3.0237818,-0.4451959,-1.9982274,-0.74359864,-4.9861126,0
161.4990234375,5.993903e-06,0.3671375,0.06571296,1353.2604615658556,1757.2309414323688,20.807790002415537,0.0032832636,2882.224238251016,0.04395891785990712,-287.91495,123.98007,5.4597507,33.678093,1.0919148,14.704471,-4.8985534,8.6549015,0.78404796,6.570926,-4.8786583,-3.1808658,-5.5564203,-6.7896266,-2.6446395,-2.9849262,-3.3852015,-1.8563895,1.8361506,-4.89742,0
